Watershed_ID;Source;Name;Official_ID;Centroid_Lat_deg_N;Centroid_Lon_deg_E;Drainage_Area_km2;Drainage_Area_GSIM_km2;Flag_GSIM_boundaries;Flag_Artificial_Boundaries;Elevation_m;Slope_deg;Gravelius;Perimeter;Flag_Shape_Extraction;Aspect_deg;Flag_Terrain_Extraction;Land_Use_Forest_frac;Land_Use_Grass_frac;Land_Use_Wetland_frac;Land_Use_Water_frac;Land_Use_Urban_frac;Land_Use_Shrubs_frac;Land_Use_Crops_frac;Land_Use_Snow_Ice_frac;Flag_Land_Use_Extraction;Permeability_logk_m2;Porosity_frac;Flag_Subsoil_Extraction
20;HYDAT;HAYDEN BROOK NEAR NARROWS MOUNTAIN;01AL003;46.29889;-67.03694;6.48;NaN;0;1;257.2;5.7899;NaN;NaN;0;92.3612;1;1;0;0;0;0;0;0;0;1;NaN;NaN;0
21;HYDAT;NARROWS MOUNTAIN BROOK NEAR NARROWS MOUNTAIN;01AL004;46.27717;-67.02139;3.9908;NaN;0;0;286.7;3.9572;1.362;9.646;1;96.7267;1;0.9375;0.0427;0.0054;0.0004;0;0.014;0;0;1;-14.5714287076678;0.087142855993339;1
22;HYDAT;NASHWAAK RIVER AT STANLEY;01AL008;46.28306;-66.7375;641;640.737;1;0;286.4;3.8236;1.8027;167.048;1;113.1216;1;0.8553;0.0486;0.0138;0.0078;0.0112;0.0421;0.0211;0;1;-14.8116735160843;0.140227271132325;1
23;HYDAT;NORTH BRANCH OROMOCTO RIVER AT TRACY;01AM001;45.67378;-66.68289;564.8203;NaN;0;0;119.9;1.1745;1.7984;151.62;1;85.3218;1;0.792;0.0305;0.0247;0.079;0.0134;0.0283;0.032;0;1;-15.1002545933815;0.186305730320086;1
24;HYDAT;CASTAWAY STREAM NEAR CASTAWAY;01AN001;46.29833;-65.71194;34.4;NaN;0;1;46;1.5463;NaN;NaN;0;82.932;1;1;0;0;0;0;0;0;0;1;NaN;NaN;0
25;HYDAT;SALMON RIVER AT CASTAWAY;01AN002;46.29072;-65.72275;1053.8309;NaN;0;0;78.3;0.8975;1.6143;185.627;1;51.5759;1;0.8957;0.0327;0.0384;0.004;0.0057;0.0173;0.0061;0;1;-15.1999998092651;0.189999997615814;1
26;HYDAT;BURPEE MILLSTREAM NEAR FERNMOUNT;01AO009;45.95667;-66.31139;93.2;109.5995;1;0;91.7;1.2917;1.8263;43.236;1;67.8626;1;0.9068;0.0227;0.033;0.0005;0.0251;0.0119;0;0;1;-15.1999998092651;0.189999997615814;1
27;HYDAT;CANAAN RIVER AT EAST CANAAN;01AP002;46.07236;-65.36639;669.1959;NaN;0;0;85.5;0.9995;1.6545;151.672;1;345.0301;1;0.8435;0.0285;0.0426;0.0027;0.0156;0.0327;0.0345;0;1;-15.1999998092651;0.189999997615814;1
28;HYDAT;KENNEBECASIS RIVER AT APOHAQUI;01AP004;45.70139;-65.60169;1103.4376;NaN;0;0;143.8;4.8412;1.7657;208.023;1;265.5507;1;0.7175;0.0533;0.0032;0.0024;0.0435;0.031;0.149;0;1;-15.0117797623174;0.181766988320162;1
29;HYDAT;NEREPIS RIVER NEAR FOWLERS CORNER;01AP006;45.50344;-66.31897;290.8257;NaN;0;0;120.2;2.6753;1.4702;88.954;1;121.9021;1;0.7974;0.1092;0.0078;0.0023;0.0332;0.0333;0.0168;0;1;-13.9121587128556;0.141265509141697;1
30;HYDAT;PARLEE BROOK BELOW ARNOLDS BRIDGE;01AP009;45.6725;-65.41833;35.4;NaN;0;1;171.1;8.3089;NaN;NaN;0;310.7533;1;1;0;0;0;0;0;0;0;1;NaN;NaN;0
31;HYDAT;LEPREAU RIVER AT LEPREAU;01AQ001;45.16978;-66.46828;230.5653;NaN;0;0;156.9;2.7939;2.1823;117.643;1;125.6082;1;0.8528;0.0257;0.0151;0.0721;0.0094;0.0249;0;0;1;-14.1000003814697;0.009999999776483;1
32;HYDAT;PISKAHEGAN STREAM NEAR PLEASANT MOUNTAIN;01AQ008;45.41806;-66.88694;197;217.5833;1;0;143.4;1.9215;1.6166;87.612;1;207.7239;1;0.8872;0.0459;0.0195;0.0129;0.0107;0.0236;0.0002;0;1;-13.568730605276;0.120959753522378;1
33;HYDAT;BOCABEC RIVER AT OUTLET OF KERR LAKE;01AR007;45.2075;-67.01944;12.4;NaN;0;1;70.8;3.2864;NaN;NaN;0;131.2669;1;1;0;0;0;0;0;0;0;1;NaN;NaN;0
34;HYDAT;BOCABEC RIVER ABOVE TIDE;01AR008;45.19306;-66.99889;43;NaN;0;1;55.4;4.6902;NaN;NaN;0;122.4421;1;0.7857;0;0;0;0;0.2143;0;0;1;NaN;NaN;0
35;HYDAT;RESTIGOUCHE RIVER ABOVE KEDGWICK RIVER;01BA001;47.65639;-67.49417;1570;1575.855;1;0;310.6;4.9362;1.9093;269.271;1;161.704;1;0.8028;0.072;0.0392;0.0024;0.0121;0.0354;0.0361;0;1;-13.9311004301007;0.141483251593615;1
36;HYDAT;RESTIGOUCHE RIVER BELOW KEDGWICK RIVER;01BC001;47.66708;-67.48308;3167.7028;NaN;0;0;346.4;5.877;2.3824;473.861;1;140.442;1;0.8464;0.0651;0.0289;0.0053;0.0096;0.0266;0.0181;0;1;-14.4249890313776;0.160367229491997;1
37;HYDAT;MATAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ASSEMETQUAGAN;01BD002;48.08667;-67.10056;2760;2754.345;1;0;324.2;4.6857;1.7914;332.184;1;339.2973;1;0.8037;0.0293;0.0125;0.026;0.025;0.0115;0.0919;0;1;-13.6294262216057;0.152102929895674;1
38;HYDAT;MATAPEDIA (LAC) A VAL-BRILLANT;01BD004;48.53389;-67.54556;558;419.7473;1;0;262.4;3.5301;2.3046;157.956;1;347.3496;1;0.7512;0.0125;0.0027;0.0977;0.0314;0.0065;0.098;0;1;-13.4552157611298;0.239622308108822;1
39;HYDAT;MATAPEDIA (RIVIERE) PRES DE AMQUI;01BD008;48.49167;-67.45;558;549.88;1;0;268.4;3.8184;1.9676;150.991;1;351.1838;1;0.7093;0.0146;0.0043;0.0809;0.0342;0.0067;0.15;0;1;-13.5395682808307;0.224589932758173;1
40;HYDAT;MATAPEDIA (RIVIERE) A 4 KM EN AMONT DE L'ASSEMETQUAGAN;01BD009;48.1079;-67.1302;2756;2746.302;1;0;324.2;4.6857;1.7914;332.184;1;339.2973;1;0.8037;0.0293;0.0125;0.026;0.025;0.0115;0.0919;0;1;-13.6294262216057;0.152102929895674;1
41;HYDAT;UPSALQUITCH RIVER AT UPSALQUITCH;01BE001;47.83247;-66.88708;2270.3229;NaN;0;0;307.6;5.6115;2.0185;339.909;1;50.3697;1;0.8948;0.0681;0.002;0.0033;0.0049;0.0268;0.0002;0;1;-13.7234507429788;0.134170715952856;1
42;HYDAT;NOUVELLE (RIVIERE) AU PONT;01BF001;48.15722;-66.34944;1140;1147.057;1;0;397.6;9.1453;1.5195;183.929;1;146.003;1;0.9588;0.0136;0.0018;0.0026;0.0085;0.0051;0.0093;0;1;-14.641724401602;0.168865738863436;1
43;HYDAT;NOUVELLE (RIVIERE) A 0,2 KM EN AMONT DU PONT-ROUTE 132 A NOUVELLE;01BF004;48.1588;-66.3488;1139;1147.057;1;0;397.6;9.1453;1.5195;183.929;1;146.003;1;0.9588;0.0136;0.0018;0.0026;0.0085;0.0051;0.0093;0;1;-14.641724401602;0.168865738863436;1
44;HYDAT;CASCAPEDIA (PETITE RIVIERE) EN AMONT DU PONT;01BG001;48.18917;-65.81194;1390;1423.801;1;0;412;10.0618;1.8162;245.601;1;150.1158;1;0.9374;0.0231;0.0081;0.0056;0.0086;0.0058;0.0113;0;1;-14.257400466379;0.154065677999527;1
45;HYDAT;BONAVENTURE (RIVIERE) EN AMONT DU PONT;01BG002;48.1;-65.46167;2150;2151.577;1;0;406.8;8.3003;1.7819;291.975;1;163.0493;1;0.8907;0.0807;0.0057;0.0043;0.0045;0.0113;0.0028;0;1;-14.6821899240012;0.170201382293238;1
46;HYDAT;CASCAPEDIA (RIVIERE) EN AVAL DU LAC CASCAPEDIA;01BG003;48.66639;-66.18944;1480;1445.712;1;0;482.8;7.9592;1.5469;208.962;1;135.8312;1;0.9474;0.0298;0.0025;0.0065;0.0058;0.0081;0;0;1;-13.5641143876248;0.122080258046521;1
47;HYDAT;CASCAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ANGERS;01BG004;48.31778;-65.9725;2400;2370.759;1;0;464.3;9.3323;1.6774;288.402;1;148.0851;1;0.9531;0.0231;0.0022;0.006;0.0068;0.0088;0;0;1;-13.9855839878745;0.140407406651757;1
48;HYDAT;CASCAPEDIA (RIVIERE) EN AVAL DU RUISSEAU BERRY;01BG005;48.62833;-66.16806;1680;1652.355;1;0;479.2;8.2563;1.6707;243.468;1;154.8645;1;0.95;0.0277;0.0026;0.0062;0.0061;0.0075;0;0;1;-13.591719479644;0.124068937978003;1
49;HYDAT;BASTIEN (RUISSEAU) EN AMONT DU PONT;01BG006;48.10972;-66.12694;12.4;NaN;0;1;27.2;2.8718;NaN;NaN;0;165.7946;1;0;0;0;0;0;0;1;0;1;NaN;NaN;0
50;HYDAT;CASCAPEDIA (PETITE RIVIERE) A SAINT-EDGAR;01BG008;48.23083;-65.735;1340;1349.926;1;0;412;10.0618;1.8162;245.601;1;150.1158;1;0.9374;0.0231;0.0081;0.0056;0.0086;0.0058;0.0113;0;1;-14.257400466379;0.154065677999527;1
51;HYDAT;BONAVENTURE (RIVIERE) EN AMONT DU RUISSEAU CREUX;01BG009;48.18611;-65.55861;1910;1919.59;1;0;420.7;8.5875;1.7919;282.493;1;163.7346;1;0.8878;0.0864;0.0061;0.004;0.0035;0.0121;0.0001;0;1;-14.641411956119;0.168642224535316;1
52;HYDAT;DARTMOUTH (RIVIERE) PRES DE CORTEREAL;01BH001;48.93306;-64.63556;748;729.3987;1;0;358.7;7.9426;1.6076;153.818;1;49.8127;1;0.9605;0.0201;0;0.0056;0.0057;0.008;0;0;1;-13.9073635543476;0.21340000314638;1
53;HYDAT;YORK (RIVIERE) A SUNNY BANK;01BH002;48.83417;-64.625;1010;1012.091;1;0;417;8.0563;2.383;270.765;1;95.1964;1;0.9497;0.0236;0.0005;0.0088;0.0121;0.0054;0;0;1;-13.9813756763278;0.143316026543745;1
54;HYDAT;PORPHYRE (RUISSEAU);01BH003;48.94583;-65.48944;30.2;NaN;0;1;627.3;11.2849;NaN;NaN;0;107.6611;1;1;0;0;0;0;0;0;0;1;NaN;NaN;0
55;HYDAT;GRANDE-RIVIERE OUEST (LA);01BH007;48.47778;-64.52861;534;536.8892;1;0;325.7;9.5206;1.8992;159.584;1;133.0092;1;0.9791;0.0083;0;0.0035;0.0045;0.0044;0.0002;0;1;-15.130695260686;0.187350117541153;1
56;HYDAT;SAINT-JEAN (RIVIERE);01BH008;48.77167;-64.52139;1090;1085.384;1;0;406.6;8.8596;2.4852;298.213;1;82.6085;1;0.9581;0.0219;0.0004;0.0057;0.0064;0.0065;0.0007;0;1;-13.8165790654732;0.137104493078177;1
57;HYDAT;YORK RIVIERE) EN AMONT DU RUISSEAU D'ARGENT;01BH009;48.83167;-64.685;972;966.5558;1;0;417;8.0563;2.383;270.765;1;95.1964;1;0.9497;0.0236;0.0005;0.0088;0.0121;0.0054;0;0;1;-13.9813756763278;0.143316026543745;1
58;HYDAT;SAINT-JEAN (RIVIERE) EN AMONT DU PONT-ROUTE 132;01BH012;48.76889;-64.515;1090;1091.107;1;0;406.6;8.8596;2.4852;298.213;1;82.6085;1;0.9581;0.0219;0.0004;0.0057;0.0064;0.0065;0.0007;0;1;-13.8165790654732;0.137104493078177;1
59;HYDAT;TETAGOUCHE RIVER NEAR WEST BATHURST;01BJ001;47.65583;-65.69361;363;376.4399;1;0;289.6;3.8296;2.4365;157.917;1;43.5187;1;0.9033;0.0304;0.0003;0.0081;0.0217;0.0116;0.024;0;1;-13.2440082159909;0.116404960609295;1
60;HYDAT;JACQUET RIVER NEAR DURHAM CENTRE;01BJ003;47.89381;-66.02522;500.8401;NaN;0;0;288.3;4.5346;2.2713;179.626;1;37.0591;1;0.9656;0.0167;0.001;0.0063;0.0034;0.0069;0.0001;0;1;-14.0321037743261;0.130573770654759;1
61;HYDAT;RESTIGOUCHE RIVER ABOVE RAFTING GROUND BROOK;01BJ007;47.90867;-66.94806;7821.0702;NaN;0;0;326.7;6.0146;2.5538;798.084;1;127.568;1;0.8748;0.0615;0.0142;0.0061;0.0076;0.0243;0.0115;0;1;-14.393700957917;0.159352509807781;1
62;HYDAT;MIDDLE RIVER NEAR BATHURST;01BJ010;47.60839;-65.72181;219.3819;NaN;0;0;214.9;1.6935;2.1054;110.234;1;60.7941;1;0.9089;0.0284;0.0018;0.0012;0.0112;0.011;0.0374;0;1;-13.6199999915229;0.111587302652853;1
63;HYDAT;EEL RIVER NEAR DUNDEE;01BJ012;47.98789;-66.49061;43.7296;NaN;0;0;220.1;4.0811;1.8381;42.944;1;29.4444;1;0.8843;0.042;0.0006;0.0026;0.0199;0.0121;0.0385;0;1;-15.1999998092651;0.189999997615814;1
64;HYDAT;FORTY MILE BROOK (WEST BRANCH) AT CARIBOU DEPOT;01BK006;47.55944;-66.27833;13;NaN;0;1;407.1;4.2786;NaN;NaN;0;55.3856;1;1;0;0;0;0;0;0;0;1;NaN;NaN;0
65;HYDAT;BASS RIVER AT BASS RIVER;01BL001;47.65;-65.57778;175;174.4193;1;0;92.6;1.0839;1.6748;78.799;1;283.038;1;0.8874;0.0608;0.0067;0.0042;0.0195;0.0126;0.0082;0;1;-15.1999998092651;0.189999997615814;1
66;HYDAT;RIVIERE CARAQUET AT BURNSVILLE;01BL002;47.70561;-65.15539;175.9723;NaN;0;0;65.9;1.0588;1.4732;69.068;1;31.1441;1;0.8717;0.053;0.0198;0.0023;0.0127;0.0174;0.0231;0;1;-15.1999998092651;0.189999997615814;1
67;HYDAT;BIG TRACADIE RIVER AT MURCHY BRIDGE CROSSING;01BL003;47.43578;-65.10606;369.9525;NaN;0;0;99.3;1.2213;1.6727;113.736;1;60.1788;1;0.8731;0.0582;0.0049;0.0006;0.0121;0.0068;0.0444;0;1;-15.1999998092651;0.189999997615814;1
68;HYDAT;SOUTHWEST MIRAMICHI RIVER AT BLACKVILLE;01BO001;46.736;-65.82561;5127.2515;NaN;0;0;228.7;2.8066;2.5538;647.543;1;102.5158;1;0.8592;0.06;0.0227;0.008;0.0077;0.0333;0.009;0;1;-14.5942346910622;0.137124226657276;1
69;HYDAT;BARNABY RIVER BELOW SEMIWAGAN RIVER;01BO003;46.88861;-65.59556;484;510.4116;1;0;58.8;0.6778;1.588;128.902;1;316.6111;1;0.8594;0.0239;0.0483;0.005;0.0168;0.0193;0.0273;0;1;-15.1999998092651;0.189999997615814;1
70;HYDAT;BARTIBOG RIVER BELOW HIGHWAY NO. 8;01BO004;47.19083;-65.3975;316;350.0293;1;0;107.3;1.3335;1.5538;109.206;1;106.652;1;0.895;0.0364;0.0419;0.003;0.0094;0.0138;0.0004;0;1;-15.1999998092651;0.189999997615814;1
71;HYDAT;LITTLE SOUTHWEST MIRAMICHI RIVER AT LYTTLETON;01BP001;46.93597;-65.90739;1326.3559;NaN;0;0;372.8;4.0354;2.243;289.033;1;113.0289;1;0.8811;0.04;0.0107;0.023;0.0073;0.0366;0.0012;0;1;-14.3285116409606;0.090209643015798;1
72;HYDAT;CATAMARAN BROOK AT REPAP ROAD BRIDGE;01BP002;46.85656;-66.19011;24.1565;NaN;0;0;260;2.7819;1.6975;29.53;1;90.5371;1;0.8816;0.0518;0.0018;0.0141;0.007;0.0436;0;0;1;-13.5323528682484;0.128235295414925;1
73;HYDAT;NORTHWEST MIRAMICHI RIVER AT TROUT BROOK;01BQ001;47.09475;-65.8365;972.6794;NaN;0;0;246.9;2.9167;2.1598;238.224;1;87.2314;1;0.9021;0.0435;0.0085;0.0118;0.0082;0.0251;0.0007;0;1;-13.2303138037721;0.111982883552034;1
74;HYDAT;COAL BRANCH RIVER AT BEERSVILLE;01BS001;46.44394;-65.06494;179.088;NaN;0;0;75.3;0.9713;1.6231;76.942;1;34.8168;1;0.8298;0.0521;0.034;0.0045;0.0172;0.0473;0.0152;0;1;-15.1999998092651;0.189999997615814;1
75;HYDAT;KINNEAR RIVER NEAR HAUTE-ABOUJAGANE;01BT001;46.15278;-64.385;32.1;NaN;0;1;25.9;1.4202;NaN;NaN;0;278.6407;1;0.8;0;0;0;0;0;0.2;0;1;NaN;NaN;0
76;HYDAT;PETITCODIAC RIVER NEAR PETITCODIAC;01BU002;45.94639;-65.16819;410.8073;NaN;0;0;89.9;2.3014;2.2385;160.842;1;103.8216;1;0.6769;0.0534;0.008;0.0016;0.0405;0.0345;0.1852;0;1;-15.1999998092651;0.189999997615814;1
77;HYDAT;PALMERS CREEK NEAR DORCHESTER;01BU004;45.88722;-64.51639;34.2;NaN;0;1;32.9;2.2898;NaN;NaN;0;270.9562;1;0.8947;0;0;0;0;0.1053;0;0;1;NaN;NaN;0
78;HYDAT;HAYWARD BROOK SITE NO. 1 NEAR PETITCODIAC;01BU005;45.86528;-65.15806;4.3;NaN;0;1;146.8;2.5911;NaN;NaN;0;305.6321;1;0.9231;0.0769;0;0;0;0;0;0;1;NaN;NaN;0
79;HYDAT;HAYWARD BROOK SITE NO. 4 NEAR PETITCODIAC;01BU006;45.87806;-65.18056;1.37;NaN;0;1;82.3;2.5064;NaN;NaN;0;220.0435;1;1;0;0;0;0;0;0;0;1;NaN;NaN;0
80;HYDAT;HAYWARD BROOK SITE NO. 5 NEAR PETITCODIAC;01BU007;45.87139;-65.185;6.49;NaN;0;1;102.4;3.4973;NaN;NaN;0;319.9512;1;1;0;0;0;0;0;0;0;1;NaN;NaN;0
81;HYDAT;HAYWARD BROOK SITE NO. 6 NEAR PETITCODIAC;01BU008;45.87306;-65.18778;2.34;NaN;0;1;85.3;3.3089;NaN;NaN;0;346.104;1;1;0;0;0;0;0;0;0;1;NaN;NaN;0
82;HYDAT;HOLMES BROOK SITE NO. 9 NEAR PETITCODIAC;01BU009;45.88786;-65.14678;5.7856;NaN;0;0;140.6;2.6504;1.2248;10.45;1;297.2656;1;0.7046;0.201;0.0251;0;0;0.0392;0.03;0;1;-15.1999998092651;0.189999997615814;1
83;HYDAT;BLACK RIVER AT GARNET SETTLEMENT;01BV004;45.30658;-65.84922;39.7518;NaN;0;0;145.6;3.4124;1.7951;40.18;1;176.8697;1;0.8884;0.0165;0.0034;0.0204;0.0506;0.0206;0.0001;0;1;-12.5;0.090000003576279;1
84;HYDAT;RATCLIFFE BROOK BELOW OTTER LAKE;01BV005;45.36778;-65.81167;29.3;NaN;0;1;126;2.3123;NaN;NaN;0;252.1797;1;0;0;0;0;0;0;1;0;1;NaN;NaN;0
85;HYDAT;POINT WOLFE RIVER AT FUNDY NATIONAL PARK;01BV006;45.55856;-65.01597;135.8831;NaN;0;0;289.7;4.9727;1.8948;78.363;1;145.8645;1;0.9454;0.0178;0.0032;0.0086;0.008;0.0171;0;0;1;-14.6984455968432;0.127409325063306;1
86;HYDAT;UPPER SALMON RIVER NEAR ALMA;01BV007;45.61111;-64.95611;181;170.9641;1;0;297.5;4.5824;1.276;59.522;1;157.8822;1;0.9139;0.0335;0.003;0.0051;0.0178;0.0257;0.0009;0;1;-14.8949789103105;0.178702927159465;1
87;HYDAT;BIG SALMON RIVER NEAR ST. MARTINS;01BV008;45.42417;-65.41167;287;259.5318;1;0;276.3;5.0706;1.5525;89.59;1;138.295;1;0.8927;0.0422;0.0067;0.01;0.0169;0.0307;0.0002;0;1;-13.1202186678277;0.075683062244716;1
88;HYDAT;DICKSON BROOK AT FUNDY NATIONAL PARK;01BV010;45.59142;-64.95706;8.81;NaN;0;1;63.7;5.712;NaN;NaN;0;94.421;1;0;0;0;0;1;0;0;0;1;NaN;NaN;0
89;HYDAT;CARRUTHERS BROOK NEAR ST. ANTHONY;01CA003;46.74411;-64.187;48.4319;NaN;0;0;40.8;0.6575;1.6255;40.047;1;83.0604;1;0.5136;0.037;0.024;0;0.0344;0.0517;0.3394;0;1;-15.1999998092651;0.189999997615814;1
90;HYDAT;SMELT CREEK NEAR ELLERSLIE;01CA004;46.60167;-63.93722;17.3;NaN;0;1;14.9;0.7135;NaN;NaN;0;39.3032;1;0;0;0;0;0;0;0;0;1;NaN;NaN;0
91;HYDAT;NORTH BROOK NEAR WALL ROAD;01CB005;46.34694;-63.63278;12.9;NaN;0;1;30.4;1.438;NaN;NaN;0;243.6315;1;0;0;0;0;0;0;1;0;1;NaN;NaN;0
92;HYDAT;EMERALD BROOK NEAR EMERALD;01CB006;46.35944;-63.55806;5.59;NaN;0;1;34.7;1.5119;NaN;NaN;0;183.3169;1;0;0;0;0;0;0;1;0;1;NaN;NaN;0
93;HYDAT;EAST BRANCH DUNK RIVER AT ELLIOTT;01CB007;46.36306;-63.46333;10.7;NaN;0;1;77.7;3.0593;NaN;NaN;0;256.5874;1;0.8571;0;0;0;0;0;0.1429;0;1;NaN;NaN;0
94;HYDAT;DUNK RIVER NEAR BREADALBANE;01CB008;46.35167;-63.48833;19.8;NaN;0;1;72.4;2.8065;NaN;NaN;0;261.8789;1;0.2;0;0;0;0;0;0.8;0;1;NaN;NaN;0
95;HYDAT;DAMES BROOK NEAR NEWTON;01CB010;46.34694;-63.55528;16.2;NaN;0;1;42.3;1.7457;NaN;NaN;0;255.6352;1;0;0;0;0;0;0;1;0;1;NaN;NaN;0
96;HYDAT;ELMO RIVER NEAR SCALES POND;01CB012;46.33861;-63.59778;7.9;NaN;0;1;37.2;1.478;NaN;NaN;0;317.9926;1;0.3571;0.3571;0;0;0;0;0.2857;0;1;NaN;NaN;0
